iteration,mean,max,std,dist_mean,dist_min
0,-0.4867241892683097,-0.4867241892683097,0,0,0
1,-1.231109914417844,-1.1640444852650285,0.3982403432460981,0.9284931343989284,0.9143081587731825
2,-1.0558834679015436,-0.9743852271838558,0.34681494282332637,0.76903064225258,0.7665232493987094
3,-1.1788740186193725,-1.0073109935695046,0.3936937418970009,0.694258187315089,0.6899096552105143
4,-0.9700002948527837,-0.900161608811468,0.3316360949036369,0.6527958737263648,0.6348230616875
5,-1.0305739352343035,-0.8741843486110262,0.35659953873300304,0.5833037731983146,0.5449681503201492
6,-0.8124624504996993,-0.6073408622434711,0.2919153037556941,0.5280768615307456,0.44723507244920924
7,-0.8205712006163002,-0.7090556060871069,0.26746152714228305,0.5408342879758763,0.4022118018290608
8,-0.9071801084750231,-0.8254694212488831,0.3210609530675725,0.6164698330275346,0.5618128470471291
9,-0.6652668242501643,-0.6541711080724246,0.24977888708666304,0.3971514531668015,0.38524127523503665
10,-0.8245079541690541,-0.6707855266124555,0.29582111536757505,0.45397242459027476,0.33649446620881784
11,-0.9298989563508551,-0.5892773679796629,0.32218127207503516,0.6245666627559594,0.2901093457629134
12,-0.7099284967631885,-0.6384497963720719,0.2577259161561565,0.41336913279299653,0.2557079661199039
13,-0.6391150041265278,-0.5988204273953109,0.21418321038799748,0.3133135504791733,0.25979277449665344
14,-0.5547618915127832,-0.5540901893272926,0.2113601319690162,0.24136399182410515,0.23371448787535043
15,-0.6815046811457827,-0.593673340069321,0.2542514581534876,0.4173734031274285,0.2029243316852445
16,-0.7597700578598843,-0.5512009510888066,0.2757661412340504,0.43948618784949456,0.1831201448312538
17,-1.2457773985245044,-0.4994142949246052,0.4049438929838215,1.450672544938128,0.19190817241173372
18,-0.49048293039545543,-0.38933491475677096,0.16652696911623904,0.16989059745776347,0.1471435144526499
19,-0.4405399801238726,-0.421344502598974,0.15365372830129315,0.15660875776048008,0.1382329034258142
20,-1.0344527101239973,-0.3804487706004007,0.35383059779021725,1.0014713172950913,0.37310323664081013
21,-0.38069135000424853,-0.3524632482107385,0.12480201705489079,0.13913896012805277,0.12326238870348986
22,-0.365809798484817,-0.35738588738490684,0.1256405698650591,0.35161465145283305,0.35097482238793987
23,-0.3527687633342158,-0.3178176674273486,0.13108090176897352,0.10656087189559951,0.0842245088478196
24,-0.7890055437075414,-0.4970775292397674,0.24432541225752852,0.7202664990842939,0.49767415301562373
25,-0.48793256214310254,-0.4868562588469056,0.14082856776820354,0.09985149854669809,0.0919035896758399
26,-1.4738833000773184,-1.4327892051158664,0.41139018651051873,1.3898484266732738,1.2662630895797582
27,-1.3707740570950402,-1.355458240104858,0.47672770628117783,0.22689225730062232,0.22471615428048727
28,-1.2864171977305099,-1.2726858885068548,0.4547138306242007,0.21347427360110943,0.190405993567362
29,-1.038440065288626,-0.34253262623719416,0.361738534500755,0.5103941517126913,0.22460845310667238
30,-0.384352192272613,-0.35126605736238603,0.10336987363222262,0.1121461667081194,0.07829811824674061
31,-0.936652985062804,-0.44476064246378577,0.3311633057232539,0.7999561170722317,0.3376693776764768
32,-0.5077487644221095,-0.50331922727482,0.16331987408786738,0.08384808925375316,0.07813780712642002
33,-0.49042139308370514,-0.41892392702335773,0.1650698868906473,0.33184882194449394,0.1491209107268043
34,-0.9181558376725668,-0.9142115248573276,0.3398474760291932,0.7962456367827181,0.7891148173860898
35,-1.2858480785124478,-0.8875221425852657,0.43569437792928833,1.6714364565692128,0.8944115019145344
36,-1.3392790268126047,-0.9878369108775723,0.45094119255855036,1.616791803895661,0.23529319081425132
37,-1.2326019702328066,-0.9619387446746511,0.44020624850522955,0.7782376049706574,0.19802593073269678
38,-1.1645453514364354,-0.9145386405832938,0.4120080879712974,0.9985423523717822,0.18230752746200748
39,-1.3301823054312483,-0.9911292798591455,0.44376773546435433,1.4366176878141712,0.2852189080264275
40,-1.48342376328697,-1.453241186888907,0.4074209160795005,2.068378279677649,1.9874979901464038
41,-0.3268152388950156,-0.32675424672732156,0.10356568120360903,1.5488597409285292,1.5487050706811802
