iteration,mean,max,std,dist_mean,dist_min
0,1.0436540951767996,1.0436540951767996,0,0,0
iteration,mean,max,std,dist_mean,dist_min
0,0.9270520125736277,0.9276843548476721,0,0,0
iteration,mean,max,std,dist_mean,dist_min
0,1.023125674371494,1.0255138180237986,0,0,0
iteration,mean,max,std,dist_mean,dist_min
0,1.0702740232663936,1.0719684120849935,0,0,0
iteration,mean,max,std,dist_mean,dist_min
0,1.0208410847465934,1.015887960422508,0,0,0
iteration,mean,max,std,dist_mean,dist_min
0,0.8153949236662293,0.8153949236662293,0,0,0
