iteration,mean,max,std,dist_mean,dist_min
0,-0.3879879325652017,-0.3879879325652017,0,0,0
1,-1.0934063938558782,-1.0499102456027694,0.3674422012371932,0.899507529432144,0.8802865790725216
2,-1.0288509517161253,-0.9987879010780446,0.35741507738711836,0.8011248595404625,0.79912506926795
3,-1.085998096683609,-0.9836083053786229,0.3668052113589132,0.7561562960033449,0.7471007351925917
iteration,mean,max,std,dist_mean,dist_min
0,-0.4924157885136947,-0.4924157885136947,0,0,0
1,-1.2103445402734756,-1.1807708815095246,0.38904694444710836,0.8938498406897248,0.8765003021486607
2,-1.123229344276863,-1.049274403825749,0.37020846079218356,0.8000214327377182,0.7983766907297333
3,-1.1475607491102617,-1.0859261434619432,0.35475553120310277,0.7605459850915981,0.7574824117952754
iteration,mean,max,std,dist_mean,dist_min
0,-0.40666028675577104,-0.40666028675577104,0,0,0
1,-1.0433931396260836,-0.852988480940639,0.3598528736100446,0.897393079050772,0.8814493418734403
2,-0.9100193485377914,-0.8404287477065142,0.31777886289941154,0.8003606426104433,0.7990630379725866
3,-1.0505440587912585,-0.8574003692888494,0.36029839347771214,0.764734894796141,0.7599262174307321
iteration,mean,max,std,dist_mean,dist_min
0,-0.38170981952870425,-0.38170981952870425,0,0,0
1,-0.8393721282083413,-0.6564663388585811,0.29083190831545597,0.9087898958872415,0.8759864753052528
2,-1.0060210911584664,-0.8695094799737437,0.35361568661049175,0.8013144146226212,0.797994833603025
3,-0.9325323907408406,-0.8445792709065186,0.33870319311775143,0.7686951356878489,0.7622927202803723
4,-0.9701579347086006,-0.8027475328683202,0.349529051567858,0.7295146431747708,0.7127323250602362
5,-0.9124850008587988,-0.7354745743293566,0.3058671798628082,0.8232601702227409,0.6492955137404068
iteration,mean,max,std,dist_mean,dist_min
0,-0.5831806341676503,-0.5831806341676503,0,0,0
1,-1.1876568176026225,-1.142128623040837,0.41207116285950673,0.8930692890641625,0.8856105069348617
2,-1.042444829742935,-0.9752801143175125,0.3571995886793151,0.8065797709921847,0.7957038406933975
3,-1.1324481826419521,-0.9686444303005477,0.4040310611588247,0.7518047148354675,0.7412981292743638
4,-1.0710230345151768,-0.8199837918513889,0.38250821497155457,0.7312540408602644,0.7122927153145686
iteration,mean,max,std,dist_mean,dist_min
0,-0.797901560010839,-0.797901560010839,0,0,0
1,-1.275977585565486,-1.183337983994926,0.4652631721535434,0.8912706989933441,0.8860092665453417
