iteration,mean,max,std,dist_mean,dist_min
0,-0.4526948338396346,-0.4526948338396346,0,0,0
1,-1.0842028653427822,-1.0064249063713608,0.37629347470912883,0.9479634985635819,0.9123007085104604
2,-0.9665861186291783,-0.8645142003411314,0.3176376423449858,0.7739842415197404,0.7715542244641629
3,-1.0277472243640526,-0.8089550934055041,0.3424997518563311,0.7015325315856905,0.6961466315171351
4,-0.8933997127112774,-0.8283705858499771,0.3030541770941808,0.6525374178313759,0.6441533031434036
5,-0.8470812548539972,-0.6448040031475184,0.2975704694324719,0.5893610208491469,0.5589015359865452
6,-0.7716022823171933,-0.5801271657172833,0.2865450714361761,0.5286749579914605,0.4886384355071889
7,-0.6660097265838685,-0.5801314266212179,0.23568730941872107,0.44845209207879816,0.4031427511499196
8,-0.9086658837915006,-0.7643628415559063,0.33302030313791425,0.8367141186403573,0.6167988755671966
9,-0.808706421672596,-0.4213871451449878,0.3015744328654492,0.6790522406482088,0.4808279552110425
10,-0.6781151042872762,-0.4946115280705737,0.2526562611087022,0.3607468802645045,0.16998259546477146
11,-1.023914214074083,-0.6050235467943269,0.33673530336641444,0.9199321242770917,0.18662184551481326
12,-0.41988923030628816,-0.36892561390664996,0.16393436771717834,0.27629300170881865,0.24603311826011462
13,-0.9617799782639955,-0.35378469618053243,0.33292778365983466,0.8872931528440624,0.42186054987498184
14,-1.4242345464185313,-1.3010854892684993,0.45737482593760614,1.5178641478955837,1.3772918921592032
15,-1.3835619811707258,-1.3210768081991093,0.3747807809905619,0.8715764831491544,0.7748789352129384
16,-1.3709684507250688,-1.3328580084591208,0.470825738932202,1.161321256240556,0.903758644049422
17,-1.3486425332910987,-1.3018578388732007,0.4504127380653265,0.9230959133642715,0.8334202616430738
18,-1.3332234782793337,-1.1823197572100348,0.43666463935350663,1.2979566760583248,0.8463165793433697
19,-1.2985371243384034,-1.2429358230489216,0.43453565915310766,1.2752047826976858,0.8140212368494646
20,-1.3926052642251334,-1.3551044436468638,0.4330720328568982,1.4203843269865915,1.0317743825925076
21,-1.203900596456645,-0.7758783465588727,0.38635605684645663,1.0913106198245683,0.8648197943479333
22,-1.191383672650525,-0.6098206108827496,0.42112520013218946,1.2903343467457933,0.7663879776969846
23,-1.4007992356711836,-1.2263432215051135,0.4713615449243468,1.6995311908126303,1.3525449538798962
24,-1.104202259465552,-0.8770520482240423,0.37212943078466615,1.0384745962791426,0.7782239943336061
25,-1.3327381088930195,-1.0422333267159296,0.43915798690843644,1.6729265958818484,1.6069022688268
26,-0.38235815965783204,-0.38160466780749774,0.16419837213672506,1.26094650907491,1.25734008783191
27,-1.088767456356144,-1.087378192203185,0.3809648536022886,1.2640016464442867,1.2635454364610992
28,-1.2147773971946343,-1.1639155548032107,0.41997371719696497,0.5526393926606912,0.4442563045549522
29,-0.9906117509531943,-0.5017598144354811,0.3573591120489957,0.5325739853753821,0.31504246885151704
30,-0.5368564614196235,-0.4575651685908055,0.21842441994300396,0.17899193814045525,0.1339619674533972
31,-0.6927089580163548,-0.3328645670819931,0.23664249831339618,0.9475836112363931,0.4305524801178493
32,-0.31679797072536486,-0.30200298132292164,0.13780878746234868,0.10679366393410387,0.08242185599826572
33,-1.2296101930534225,-1.1370758986481422,0.3682834736750991,1.4006531015227242,1.197932947070944
34,-1.1499869057923124,-1.1052959086145604,0.38380010567226647,0.20875004711243483,0.1832918217542489
35,-0.9923422831651563,-0.48156828971669047,0.35633371466798847,0.8427426143821364,0.617677953017892
36,-0.49160045532652785,-0.4864470084064012,0.18634111180724297,0.20452820104301866,0.19167605416750327
37,-0.886129740055781,-0.7718729943703562,0.3165978069349347,1.0603480494259159,0.8255008165174214
38,-0.7736320798128593,-0.7414558490471025,0.27420767481948444,0.10611833692729454,0.07847532045974609
39,-1.0346959552630415,-0.5568737241949577,0.3553420659090991,1.2347344076772646,0.3615595036612185
40,-0.5836148281227275,-0.577371124979544,0.22938253292373917,0.10666574430441643,0.10062140231976628
41,-0.6230190872682984,-0.5648508469302868,0.2430690925768087,0.5676222628702006,0.32665954124066
42,-0.5239599240262687,-0.5239508838421586,0.21975601540356793,0.12027971527421545,0.11910893494709493
43,-0.28672508936963087,-0.28605617891633317,0.12497528567053554,0.4748349065401865,0.47385719665135273
44,-0.9929556159349899,-0.8638398409583538,0.3228730906766725,1.0733189657302877,0.9086743396030529
45,-0.8626534099922836,-0.4461245019004234,0.238159320339773,0.5393419033398122,0.15114276320210643
46,-0.8177924143957016,-0.47046336892094115,0.26735941425519016,0.7283763888286539,0.11621175008634356
47,-0.43663598925311153,-0.4364681040970925,0.17099513654673532,0.13061388474580005,0.13042214987844783
48,-0.7729764653786161,-0.38710717763275776,0.2886959667982328,0.7605270931004384,0.22919132781420562
49,-0.424730016291062,-0.41549294517207774,0.17431951471148177,0.08264912252722449,0.0629254470545803
